epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.59331,2.99567,4.16728,3.14388,0.00222,0.66667,0.00194,0.00058,2.92279,4.40199,3.46754,0,0,0
2,11.0789,1.7789,3.54939,2.17483,0.00222,0.66667,0.00195,0.00058,2.7992,4.43839,3.38542,1.9604e-05,1.9604e-05,1.9604e-05
3,17.6601,2.36885,3.87692,2.73117,0.00222,0.66667,0.00895,0.0013,2.50288,4.41723,3.14429,3.8416e-05,3.8416e-05,3.8416e-05
4,22.798,2.2973,3.63991,2.53308,0.00333,1,0.01382,0.00361,1.91624,4.36059,2.8523,5.6436e-05,5.6436e-05,5.6436e-05
5,27.93,2.02072,3.89948,2.48673,0.00222,0.66667,0.01085,0.00217,2.08578,4.22789,2.86847,7.3664e-05,7.3664e-05,7.3664e-05
6,33.3568,1.87567,3.53807,2.19515,0.00222,0.66667,0.02084,0.00507,2.21091,3.91432,2.82003,9.01e-05,9.01e-05,9.01e-05
7,38.1206,1.6152,3.56547,1.99799,0.00333,1,0.02911,0.01121,1.81196,4.14664,2.51071,0.000105744,0.000105744,0.000105744
8,43.1577,2.09026,3.62247,2.154,0.00333,1,0.08002,0.01864,1.74854,4.10823,2.51894,0.000120596,0.000120596,0.000120596
9,51.4795,1.51767,3.26364,1.85832,0.00333,1,0.13568,0.02893,1.57868,3.7846,2.42131,0.000134656,0.000134656,0.000134656
10,56.5548,1.31936,3.20864,1.77537,0.00333,1,0.2985,0.08057,1.3675,3.65175,1.99337,0.000147924,0.000147924,0.000147924
11,61.642,1.1912,2.83046,1.50955,0.00333,1,0.64133,0.37071,1.21207,3.72336,1.82031,0.0001604,0.0001604,0.0001604
12,68.0262,1.02012,2.81207,1.45589,0.00333,1,0.995,0.60657,1.24918,3.56941,1.56678,0.000172084,0.000172084,0.000172084
13,74.598,1.02068,2.52067,1.45897,0.00333,1,0.995,0.758,0.9425,3.42972,1.31842,0.000182976,0.000182976,0.000182976
14,80.2369,1.21243,2.66561,1.56025,0.00333,1,0.863,0.71294,1.00463,3.1404,1.2387,0.000193076,0.000193076,0.000193076
15,84.9426,1.14548,2.67371,1.45606,0.00333,1,0.80643,0.69757,0.94162,3.0002,1.20712,0.000202384,0.000202384,0.000202384
16,91.0514,1.38926,2.23923,1.51325,0.00333,1,0.80643,0.64393,0.84535,2.86744,1.1145,0.0002109,0.0002109,0.0002109
17,96.1694,0.86158,2.51244,1.33144,0.00949,1,0.995,0.58112,0.95459,2.72649,1.14376,0.000218624,0.000218624,0.000218624
18,100.425,0.9841,1.9045,1.26445,0.00949,1,0.995,0.58112,0.95459,2.72649,1.14376,0.000225556,0.000225556,0.000225556
19,106.734,0.93191,1.64987,1.18303,1,0.779,0.995,0.59841,0.97046,2.54108,1.1622,0.000231696,0.000231696,0.000231696
20,111.989,1.04796,1.65331,1.25549,1,0.779,0.995,0.59841,0.97046,2.54108,1.1622,0.000237044,0.000237044,0.000237044
21,118.084,1.10659,2.31363,1.42705,1,0.81474,0.995,0.76365,0.80247,2.69271,1.0636,0.0002416,0.0002416,0.0002416
22,124.943,0.92576,1.9995,1.30905,1,0.81474,0.995,0.76365,0.80247,2.69271,1.0636,0.000245364,0.000245364,0.000245364
23,129.731,0.64554,1.55578,1.14012,0.00333,1,0.995,0.79661,0.68263,2.69717,1.02731,0.000248336,0.000248336,0.000248336
24,134.098,0.79234,1.63679,1.13317,0.00333,1,0.995,0.79661,0.68263,2.69717,1.02731,0.000250516,0.000250516,0.000250516
25,139.552,0.97356,1.93675,1.33571,0.00333,1,0.995,0.86254,0.62375,2.75016,1.05475,0.000251904,0.000251904,0.000251904
26,144.605,0.87618,2.25335,1.34131,0.00333,1,0.995,0.86254,0.62375,2.75016,1.05475,0.0002525,0.0002525,0.0002525
27,149.226,0.84398,1.39705,1.15841,0.00333,1,0.995,0.78524,0.62932,2.72849,1.06053,0.000252304,0.000252304,0.000252304
28,153.885,0.64663,1.3272,1.05372,0.00333,1,0.995,0.78524,0.62932,2.72849,1.06053,0.000251316,0.000251316,0.000251316
29,158.561,0.64527,1.37126,1.01102,0.00333,1,0.995,0.73011,0.61436,2.71429,1.02158,0.000249536,0.000249536,0.000249536
30,162.977,0.79518,1.28468,1.14426,0.00333,1,0.995,0.73011,0.61436,2.71429,1.02158,0.000246964,0.000246964,0.000246964
31,168.397,0.6259,1.20891,1.09994,0.00333,1,0.995,0.83019,0.79464,2.61104,1.18636,0.0002436,0.0002436,0.0002436
32,173.367,0.93057,1.84295,1.17689,0.00333,1,0.995,0.83019,0.79464,2.61104,1.18636,0.000239444,0.000239444,0.000239444
33,178.253,0.69936,1.40375,1.10126,0.26731,1,0.995,0.83019,0.7842,2.61382,1.2112,0.000234496,0.000234496,0.000234496
34,182.753,0.79164,1.61578,1.25118,0.26731,1,0.995,0.83019,0.7842,2.61382,1.2112,0.000228756,0.000228756,0.000228756
35,187.297,1.01994,1.49477,1.29934,0.36949,1,0.995,0.75045,1.01996,2.62011,1.25067,0.000222224,0.000222224,0.000222224
36,191.799,0.82502,1.41801,1.14833,0.36949,1,0.995,0.75045,1.01996,2.62011,1.25067,0.0002149,0.0002149,0.0002149
37,196.458,0.90785,1.54537,1.36256,0.31997,1,0.995,0.76365,0.9407,2.6093,1.14991,0.000206784,0.000206784,0.000206784
38,201.506,0.67184,1.26244,1.04589,0.31997,1,0.995,0.76365,0.9407,2.6093,1.14991,0.000197876,0.000197876,0.000197876
39,206.329,0.55111,1.20103,0.99273,0.71409,1,0.995,0.76365,0.86853,2.51624,1.04816,0.000188176,0.000188176,0.000188176
40,210.834,0.90679,1.50949,1.10611,0.71409,1,0.995,0.76365,0.86853,2.51624,1.04816,0.000177684,0.000177684,0.000177684
41,216.643,0.50098,1.51457,0.93118,0.74783,1,0.995,0.82957,0.58467,2.49574,0.89649,0.0001664,0.0001664,0.0001664
42,221.249,0.65417,1.48731,0.9928,0.74783,1,0.995,0.82957,0.58467,2.49574,0.89649,0.000154324,0.000154324,0.000154324
43,225.994,0.63292,1.49324,0.97906,0.90084,1,0.995,0.87961,0.46851,2.5202,0.81095,0.000141456,0.000141456,0.000141456
44,230.952,0.47862,1.53854,0.82847,0.90084,1,0.995,0.87961,0.46851,2.5202,0.81095,0.000127796,0.000127796,0.000127796
45,235.97,0.44797,1.44962,0.96006,0.92355,1,0.995,0.8549,0.41106,2.54721,0.77805,0.000113344,0.000113344,0.000113344
46,243.379,0.39904,1.39234,0.91367,0.92355,1,0.995,0.8549,0.41106,2.54721,0.77805,9.81e-05,9.81e-05,9.81e-05
47,249.001,0.44412,1.5068,1.00014,0.93197,1,0.995,0.89611,0.37046,2.45078,0.78037,8.2064e-05,8.2064e-05,8.2064e-05
48,254.581,0.41992,1.35307,0.92866,0.93197,1,0.995,0.89611,0.37046,2.45078,0.78037,6.5236e-05,6.5236e-05,6.5236e-05
49,259.331,0.46256,1.41489,0.93967,0.93691,1,0.995,0.92907,0.35953,2.39718,0.76807,4.7616e-05,4.7616e-05,4.7616e-05
50,265.227,0.46857,1.42183,0.95192,0.93691,1,0.995,0.92907,0.35953,2.39718,0.76807,2.9204e-05,2.9204e-05,2.9204e-05
